map,period,vehicle ID,start time,duration,tags
us101,0820-0835,9,3.0,20,lane-change
us101,0750-0805,4,5.4,20,lane-change
us101,0750-0805,37,6.0,20,lane-change
us101,0750-0805,6,6.699999999999999,20,lane-change
us101,0750-0805,4,8.2,20,lane-change
us101,0750-0805,18,10.399999999999999,20,lane-change
us101,0750-0805,2,10.600000000000001,20,lane-change
us101,0750-0805,33,11.8,20,lane-change
us101,0750-0805,44,11.8,20,lane-change
us101,0750-0805,6,12.8,20,lane-change
us101,0750-0805,42,13.100000000000001,20,lane-change
us101,0750-0805,91,14.899999999999999,20,lane-change
us101,0750-0805,33,15.100000000000001,20,lane-change
us101,0750-0805,35,15.399999999999999,20,lane-change
us101,0750-0805,42,15.5,20,lane-change
us101,0750-0805,40,17.3,20,lane-change
us101,0750-0805,63,20.5,20,lane-change
us101,0750-0805,49,20.8,20,lane-change
us101,0750-0805,18,21.9,20,lane-change
us101,0750-0805,53,22.4,20,lane-change
us101,0750-0805,44,22.6,20,lane-change
us101,0820-0835,2,23.1,20,lane-change
us101,0750-0805,56,23.4,20,lane-change
us101,0750-0805,74,23.700000000000003,20,lane-change
us101,0750-0805,63,24.200000000000003,20,lane-change
us101,0750-0805,63,24.299999999999997,20,cutoff
us101,0750-0805,31,25.799999999999997,20,lane-change
us101,0750-0805,69,27.0,20,lane-change
us101,0750-0805,64,27.6,20,lane-change
us101,0750-0805,97,28.1,20,lane-change
us101,0750-0805,51,28.299999999999997,20,lane-change
us101,0820-0835,4,28.5,20,lane-change
us101,0750-0805,53,29.1,20,lane-change
us101,0750-0805,132,29.5,20,lane-change
us101,0820-0835,8,30.5,20,lane-change
us101,0750-0805,118,30.700000000000003,20,lane-change
us101,0750-0805,63,31.5,20,lane-change
us101,0820-0835,9,32.1,20,lane-change
us101,0750-0805,90,32.6,20,lane-change
us101,0750-0805,97,33.1,20,lane-change
us101,0750-0805,140,33.2,20,lane-change
us101,0820-0835,20,33.4,20,lane-change
us101,0750-0805,118,33.7,20,lane-change
us101,0750-0805,128,34.3,20,lane-change
us101,0750-0805,141,34.6,20,lane-change
us101,0750-0805,74,35.5,20,lane-change
us101,0820-0835,60,35.5,20,lane-change
us101,0750-0805,132,35.7,20,lane-change
us101,0820-0835,1,36.1,20,lane-change
us101,0820-0835,12,36.5,20,lane-change
us101,0750-0805,124,36.6,20,lane-change
us101,0820-0835,43,36.7,20,lane-change
us101,0820-0835,4,36.9,20,lane-change
us101,0820-0835,20,37.6,20,lane-change
us101,0820-0835,28,37.8,20,lane-change
us101,0750-0805,97,38.1,20,lane-change
us101,0750-0805,190,38.1,20,lane-change
us101,0750-0805,90,38.7,20,lane-change
us101,0750-0805,76,40.0,20,lane-change
us101,0750-0805,153,41.0,20,lane-change
us101,0820-0835,4,41.2,20,lane-change
us101,0820-0835,35,41.2,20,lane-change
us101,0750-0805,128,41.5,20,lane-change
us101,0750-0805,97,41.9,20,lane-change
us101,0750-0805,79,42.1,20,lane-change
us101,0750-0805,115,42.2,20,lane-change
us101,0750-0805,141,42.4,20,lane-change
us101,0750-0805,49,42.5,20,lane-change
us101,0750-0805,141,42.5,20,cutoff
us101,0820-0835,1,43.4,20,lane-change
us101,0750-0805,118,44.4,20,lane-change
us101,0820-0835,46,44.8,20,lane-change
us101,0820-0835,8,45.3,20,lane-change
us101,0750-0805,174,46.2,20,lane-change
us101,0750-0805,42,46.4,20,lane-change
us101,0750-0805,115,47.2,30,overtake
us101,0805-0820,6,47.6,20,lane-change
us101,0820-0835,60,47.9,20,lane-change
us101,0820-0835,46,48.1,20,lane-change
us101,0750-0805,183,48.6,20,lane-change
us101,0805-0820,49,49.3,20,lane-change
us101,0750-0805,118,49.4,20,lane-change
us101,0820-0835,78,50.2,20,lane-change
us101,0750-0805,97,50.6,20,lane-change
us101,0820-0835,61,50.7,20,lane-change
us101,0820-0835,4,51.6,20,lane-change
us101,0750-0805,200,52.2,20,lane-change
us101,0820-0835,35,52.3,20,lane-change
us101,0750-0805,153,53.1,20,lane-change
us101,0820-0835,53,53.1,20,lane-change
us101,0820-0835,118,53.1,20,lane-change
us101,0820-0835,28,53.8,20,lane-change
us101,0805-0820,36,53.9,20,lane-change
us101,0750-0805,114,54.3,20,lane-change
us101,0820-0835,61,54.599999999999994,20,lane-change
us101,0750-0805,198,55.7,20,lane-change
us101,0750-0805,128,55.8,20,lane-change
us101,0750-0805,115,55.900000000000006,20,lane-change
us101,0820-0835,35,56.3,20,lane-change
us101,0820-0835,74,56.5,20,lane-change
us101,0805-0820,48,56.7,20,lane-change
us101,0750-0805,116,56.900000000000006,20,lane-change
us101,0750-0805,132,57.3,20,lane-change
us101,0750-0805,174,57.400000000000006,20,lane-change
us101,0805-0820,61,57.7,20,lane-change
us101,0820-0835,72,57.7,20,lane-change
us101,0820-0835,98,58.2,20,lane-change
us101,0820-0835,80,58.5,20,lane-change
us101,0805-0820,71,59.2,20,lane-change
